content,title
"['Proyecto perteneciente a la Facultad de Ingeniería', 'Coordinador(a): Martha Ruth Ospina Torres', 'Dirección: Carrera 7 # 40B - 53 Dirección: Piso 5', 'Email: ingelectronica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 1512 - Asistente: 1519']",Datos de contacto Ingeniería Electrónica
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Favio López Botía', 'Dirección: Carrera 5 Este # 15-82 / Calle 14 # 7-46 Este (Globo B) Dirección: Piso 1', 'Email: iforestal@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4025 - 4026']",Datos de contacto Ingeniería Forestal
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Carmen Helena Moreno Durán', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: licbiologia@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 3010 - 3099 -  3093']",Datos de contacto Licenciatura en Biología
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Zamir Maturana Córdoba', 'Dirección: Carrera 5 Este # 15-82 / Calle 14 # 7-46 Este (Globo B) Dirección: Piso 1', 'Email: ingtopografica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4023 - 4024']",Datos de contacto Ingeniería Topográfica
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Carlos Arturd Reina Rodriguez', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 Dirección: Bloque 2', 'Email: archivistica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4224 - 4225']",Datos de contacto Archivística y Gestión de la Información Digital
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Esperanza Camargo Casallas', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecelectronica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5015 - Asistente: 5014']",Datos de contacto Tecnología Electrónica (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Ingeniería', 'Coordinador(a): Javier Felipe Moncada Sanchez ', 'Dirección: Carrera 8 # 40 - 62 Dirección: Piso 5', 'Email: ingcatastral@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 1516 - 1515']",Datos de contacto Ingeniería Catastral y Geodesia
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Miguel Angel Piragauta Aguilar', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 ', 'Email: ingsanitaria@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4058']",Datos de contacto Ingeniería Sanitaria
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Olga Lucia Godoy Morales', 'Dirección: Carrera 5 Este # 15-82 / Calle 14 # 7-46 Este (Globo B) Dirección: Piso 1', 'Email: teclevatopo@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4022']",Datos de contacto Tecnología en Levantamientos Topográficos
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Hanz Plata Martínez', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2 - Oficina 201', 'Email: licartistica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): 3045']",Datos de contacto Licenciatura en Educación Artística
